Month,CITY,STORE,STATUS,Zone,ORDER COUNT,CART SALES,DISCOUNT,NET REVENUE,IDEAL FOOD COST,GROSS MARGIN,EBITDA,VARIANCE,Revenue Cohort,CM Cohort,EBITDA Category,EBITDA Cohort,CM,GM%,CM%,Variance %,Revenue Band,Variance Bucket
Mar-2024,Bangalore,"Price, Blevins and Kim",Inactive,North,9472,3480859.28,991860.79,2567561.09,853542.67,1615237.44,208088.25,26417.23,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,623376.6499999999,62.90940637365712,24.27894130456697,1.028884185186028,INR 25 to 35 lacs,Var < 2%
Oct-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,11289,4643759.26,1094728.65,3616787.42,1229669.88,2276055.54,1072785.79,19431.52,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,1181326.8900000001,62.93031012588515,32.66232578302875,0.5372591126740869,INR 35 to 45 lacs,Var < 2%
Nov-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,9038,4147157.61,688448.43,3582637.27,1289983.3,2170494.31,741013.81,22482.03,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,1482045.88,60.583702630883415,41.36745554483666,0.6275273857127043,INR 35 to 45 lacs,Var < 2%
Dec-2023,Pune,"Taylor, Weiss and Rodgers",Inactive,East,12984,5836592.04,1315614.88,4629289.63,1455473.21,3061045.61,1677037.5,26425.15,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,1745430.73,66.12344127623744,37.70407275208659,0.5708251613541839,Above INR 45 lacs,Var < 2%
Jan-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,14326,5383199.55,1176498.44,4296415.95,1266619.08,2923246.04,1498733.71,28375.01,INR 20 to 30 lacs,More than 30%,EBITDA -ve,More than 20%,1746747.6,68.03917670029132,40.65592392189122,0.6604344255820946,INR 35 to 45 lacs,Var < 2%
Feb-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,14300,6928348.23,1774251.57,5262559.31,2494037.5,2707198.01,1313916.1,16926.92,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,More than 20%,932946.4399999997,51.442612814942315,17.72799858477984,0.3216480613878345,Above INR 45 lacs,Var < 2%
Mar-2024,Pune,"Taylor, Weiss and Rodgers",Inactive,East,10281,4072996.99,1172079.05,2969557.18,887081.7,1954425.91,647594.81,19364.64,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,782346.8599999999,65.81539911617395,26.34557318071241,0.6521053081725807,INR 25 to 35 lacs,Var < 2%
Oct-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,10376,3188647.87,704085.47,2574624.99,940559.68,1568541.29,219837.94,12082.17,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,864455.8200000001,60.92309738669941,33.575989643447066,0.4692788288363502,INR 25 to 35 lacs,Var < 2%
Nov-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,10310,4267192.53,1208123.59,3197252.36,1497202.46,1635941.72,329574.78,26613.09,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,427818.1299999999,51.1671127517754,13.380805824160841,0.8323737698327949,INR 25 to 35 lacs,Var < 2%
Dec-2023,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,7804,2980209.71,693813.91,2398553.71,904601.84,1363966.34,101722.41,15481.1,More than 40 lacs,More than 30%,EBITDA -ve,More than 20%,670152.43,56.86619958991871,27.939855055403367,0.6454347857818036,INR 15 to 25 lacs,Var < 2%
Jan-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,14184,5404807.78,1214026.49,4256906.66,1461225.1,2696254.17,1297672.79,28986.14,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,1482227.68,63.338343669485106,34.819360591758894,0.6809202624142103,INR 35 to 45 lacs,Var < 2%
Feb-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,11150,4824986.7,1401776.66,3479490.15,1358792.01,2037273.75,759698.08,12736.37,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,635497.0900000001,58.55092735353771,18.264086478302,0.36604127188001956,INR 25 to 35 lacs,Var < 2%
Mar-2024,Ahmedabad,"Elliott, Hunter and Hill",Inactive,West,7329,3210923.19,732716.94,2595087.22,1052324.42,1402426.42,89210.96,24901.29,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%,669709.48,54.041590941209286,25.806819702961658,0.9595550318343443,INR 25 to 35 lacs,Var < 2%
Oct-2023,Mumbai,Bailey Inc,Active,North,9419,4416662.16,873903.17,3583341.94,1549617.88,1911247.38,546816.39,29958.68,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,1037344.2099999998,53.337008077995485,28.949071212556394,0.836054177961035,INR 35 to 45 lacs,Var < 2%
Nov-2023,Mumbai,Bailey Inc,Active,North,11124,5044040.51,1060709.45,4118934.08,1524382.92,2520673.45,1297132.64,27582.37,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,0% to 10%,1459964.0000000002,61.197227269051126,35.44518974190527,0.6696482503551016,INR 35 to 45 lacs,Var < 2%
Dec-2023,Mumbai,Bailey Inc,Active,North,12421,5218803.5,1490274.2,3800285.2,1723616.73,2021973.93,593259.44,22458.75,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,531699.73,53.205847024323326,13.991048092916813,0.5909753825844439,INR 35 to 45 lacs,Var < 2%
Jan-2024,Mumbai,Bailey Inc,Active,North,7892,3215160.43,768233.62,2519758.05,1196721.0,1192085.44,-88668.46,26493.62,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,More than 20%,423851.81999999995,47.30952005491162,16.821131695561007,1.051435077268629,INR 25 to 35 lacs,Var < 2%
Feb-2024,Mumbai,Bailey Inc,Active,North,8591,3714940.86,860257.1,2942939.44,939439.42,1929631.02,484621.92,13862.66,INR 20 to 30 lacs,10% to 20%,EBITDA -ve,0% to 10%,1069373.92,65.56815249993727,36.33693257378072,0.47104808925324,INR 25 to 35 lacs,Var < 2%
Mar-2024,Mumbai,Bailey Inc,Active,North,12644,5353284.79,1590878.07,3854964.19,1694578.06,2014086.93,614591.54,29377.56,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,423208.85999999987,52.246579494166454,10.978282524590712,0.7620708922849943,INR 35 to 45 lacs,Var < 2%
Oct-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,10747,4615994.79,1103958.45,3604570.96,1052070.84,2455646.18,950537.86,29290.41,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,1351687.7300000002,68.12589368472302,37.49926815145845,0.8125907445029186,INR 35 to 45 lacs,Var < 2%
Nov-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,8682,3080747.28,916820.06,2208132.57,799837.21,1310974.37,-204707.75,23711.31,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%,394154.31000000006,59.37027458455542,17.850119841310075,1.073817320669293,INR 15 to 25 lacs,Var < 2%
Dec-2023,Mumbai,"Guzman, Pearson and Williams",Inactive,North,8763,3607574.05,663184.02,3052380.21,966092.96,1968241.59,443998.81,25516.09,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,1305057.57,64.48218945830475,42.755406607750224,0.8359407493341073,INR 25 to 35 lacs,Var < 2%
Jan-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,11337,4141318.37,942799.07,3241757.49,1317276.92,1794421.9,563602.76,27896.33,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,851622.83,55.35336636177556,26.270405254774314,0.8605310571828123,INR 25 to 35 lacs,Var < 2%
Feb-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,7899,3313592.37,886634.09,2525683.07,1038077.34,1376031.53,95872.23,14071.57,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,489397.44000000006,54.48155971524963,19.37683495657276,0.5571391821539985,INR 25 to 35 lacs,Var < 2%
Mar-2024,Mumbai,"Guzman, Pearson and Williams",Inactive,North,7902,3101729.32,869231.34,2310044.01,680080.85,1522095.62,100781.72,13593.66,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,More than 20%,652864.2800000001,65.8903299422421,28.261984497862453,0.5884589185813824,INR 15 to 25 lacs,Var < 2%
Oct-2023,Pune,"Green, Howard and Campbell",Inactive,East,7939,2973709.07,674711.63,2360087.15,951668.06,1348892.94,48552.37,18988.68,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,674181.3099999999,57.15436991383983,28.565949778591857,0.8045753734136472,INR 15 to 25 lacs,Var < 2%
Nov-2023,Pune,"Green, Howard and Campbell",Inactive,East,12895,5460116.92,1397880.47,4180511.16,1899156.83,2172818.89,943417.07,29302.37,More than 40 lacs,More than 30%,EBITDA -ve,0% to 10%,774938.4200000002,51.97495729206474,18.536929823672573,0.7009279219338335,INR 35 to 45 lacs,Var < 2%
Dec-2023,Pune,"Green, Howard and Campbell",Inactive,East,14978,4545462.9,902136.2,3717773.22,1175853.75,2477565.23,1122814.79,25370.39,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,1575429.03,66.64110701190106,42.37560864457461,0.6824082185410976,INR 35 to 45 lacs,Var < 2%
Jan-2024,Pune,"Green, Howard and Campbell",Inactive,East,7986,3882711.26,983991.68,2974597.4,1244576.61,1675199.59,134168.89,20889.78,INR 20 to 30 lacs,More than 30%,EBITDA -ve,10% to 20%,691207.91,56.316851147654475,23.237023941458432,0.7022725159377871,INR 25 to 35 lacs,Var < 2%
Feb-2024,Pune,"Green, Howard and Campbell",Inactive,East,8624,3153591.94,771151.98,2475787.12,918418.18,1448662.77,-31689.35,24937.51,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,More than 20%,677510.79,58.51322023195596,27.36547033979238,1.0072558257755213,INR 15 to 25 lacs,Var < 2%
Mar-2024,Pune,"Green, Howard and Campbell",Inactive,East,9411,4621786.7,705908.07,4049956.95,1220305.15,2744489.53,1518435.97,20503.27,INR 20 to 30 lacs,More than 30%,EBITDA +ve,0% to 10%,2038581.46,67.76589390660065,50.33587974311678,0.506258961592172,INR 35 to 45 lacs,Var < 2%
Oct-2023,Bangalore,Duffy-Bowen,Active,East,10654,3825378.98,1029069.36,2857637.94,1125452.63,1681926.91,221519.3,25333.12,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,652857.5499999999,58.85724312576841,22.84605550834757,0.8865055871983558,INR 25 to 35 lacs,Var < 2%
Nov-2023,Bangalore,Duffy-Bowen,Active,East,10040,3863281.18,668145.09,3265318.04,1099046.62,2052475.34,796444.75,25452.45,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,1384330.25,62.85682787579246,42.39495917524775,0.7794784363485769,INR 25 to 35 lacs,Var < 2%
Dec-2023,Bangalore,Duffy-Bowen,Active,East,11131,3529992.4,1002971.91,2591142.18,788319.04,1729451.93,250675.75,23800.1,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,726480.0199999999,66.74477160492984,28.037057387564886,0.9185177171559145,INR 25 to 35 lacs,Var < 2%
Jan-2024,Bangalore,Duffy-Bowen,Active,East,8016,2678110.23,566210.56,2195049.69,785949.22,1261684.01,-95191.58,17618.19,INR 30 to 40 lacs,More than 30%,EBITDA +ve,0% to 10%,695473.45,57.47860814941278,31.68372238534609,0.8026328552042938,INR 15 to 25 lacs,Var < 2%
Feb-2024,Bangalore,Duffy-Bowen,Active,East,9817,4784722.99,1115177.0,3782097.82,1460116.33,2186838.99,795424.84,22819.44,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,1071661.9900000002,57.82079401637476,28.33512090387975,0.6033540401659945,INR 35 to 45 lacs,Var < 2%
Mar-2024,Bangalore,Duffy-Bowen,Active,East,12656,5252653.47,1165580.44,4212726.21,1995677.52,2100418.0,839830.21,17729.22,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,10% to 20%,934837.56,49.858877489216184,22.19079791563288,0.42084909192330355,INR 35 to 45 lacs,Var < 2%
Oct-2023,Bangalore,Scott and Sons,Inactive,South,12636,5763940.68,1262130.46,4612597.64,1471610.55,3060659.58,1760805.88,18282.6,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%,1798529.12,66.35435862556615,38.99167584883906,0.39636234128585296,Above INR 45 lacs,Var < 2%
Nov-2023,Bangalore,Scott and Sons,Inactive,South,8549,2867141.64,596542.69,2360126.36,980375.21,1267856.33,-26968.6,26213.72,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,10% to 20%,671313.6400000001,53.7198495592414,28.44397026267696,1.1106913784056884,INR 15 to 25 lacs,Var < 2%
Dec-2023,Bangalore,Scott and Sons,Inactive,South,10804,4093584.34,896155.27,3299849.58,1229849.79,1935912.63,555285.15,24326.47,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,1039757.3599999999,58.66669322545302,31.509235036101245,0.73719936046297,INR 25 to 35 lacs,Var < 2%
Jan-2024,Bangalore,Scott and Sons,Inactive,South,14788,6808781.34,1128930.88,5803687.32,2768582.12,2949621.06,1552420.9,29196.53,INR 20 to 30 lacs,10% to 20%,EBITDA +ve,0% to 10%,1820690.1800000002,50.82322491488049,31.37126587998197,0.5030686249995977,Above INR 45 lacs,Var < 2%
Feb-2024,Bangalore,Scott and Sons,Inactive,South,11214,3458288.2,1021140.23,2545615.89,1119694.72,1363111.6,5698.05,26930.29,More than 40 lacs,More than 30%,EBITDA +ve,More than 20%,341971.3700000001,53.54741873488227,13.433738033431277,1.0579086226555572,INR 25 to 35 lacs,Var < 2%
Mar-2024,Bangalore,Scott and Sons,Inactive,South,8256,3375080.18,828280.5,2611709.16,920311.28,1614464.75,359643.55,21543.46,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,More than 20%,786184.25,61.81640646388053,30.102289414185762,0.8248797503930337,INR 25 to 35 lacs,Var < 2%
Oct-2023,Bangalore,Richardson-Wade,Active,South,8304,3755270.65,653457.44,3220712.2,1175103.53,1975205.11,619313.08,16112.08,More than 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,1321747.6700000002,61.32820902159466,41.03898727741026,0.5002645067137634,INR 25 to 35 lacs,Var < 2%
Nov-2023,Bangalore,Richardson-Wade,Active,South,10895,4362467.42,735979.26,3683329.5,1084522.06,2545900.3,1285225.86,22729.81,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,1809921.0399999998,69.11953709273091,49.13817892208666,0.6170995562574568,INR 35 to 45 lacs,Var < 2%
Dec-2023,Bangalore,Richardson-Wade,Active,South,13354,4162577.82,833080.62,3400534.47,1209211.08,2132463.35,680530.23,17244.71,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,1299382.73,62.70965252118147,38.211132440013166,0.5071176355403919,INR 25 to 35 lacs,Var < 2%
Jan-2024,Bangalore,Richardson-Wade,Active,South,9097,3029836.11,772722.72,2375941.74,1053356.34,1234893.98,-143262.42,19441.21,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,462171.26,51.97492679260729,19.452129327043178,0.8182528078318957,INR 15 to 25 lacs,Var < 2%
Feb-2024,Bangalore,Richardson-Wade,Active,South,13868,4351661.95,689991.72,3769425.29,1648811.51,1992942.72,778945.72,18375.87,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,1302951.0,52.871261974262396,34.56630387281134,0.4874979230587165,INR 35 to 45 lacs,Var < 2%
Mar-2024,Bangalore,Richardson-Wade,Active,South,11991,5094797.11,1142111.72,4003105.0,1925826.26,2008977.2,674851.09,12819.19,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,866865.48,50.18547352617531,21.654827440199544,0.3202311705538576,INR 35 to 45 lacs,Var < 2%
Oct-2023,Mumbai,"Hall, Smith and Brown",Active,North,13165,6187485.15,1549057.64,4715248.01,2132845.57,2527206.78,1222453.21,11304.09,More than 40 lacs,More than 30%,EBITDA -ve,10% to 20%,978149.1399999999,53.59647625406664,20.7443837084616,0.23973479180790747,Above INR 45 lacs,Var < 2%
Nov-2023,Mumbai,"Hall, Smith and Brown",Active,North,12373,4562328.94,877630.74,3748487.96,1422283.63,2257532.0,915166.19,20141.02,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,1379901.26,60.22513675087274,36.812210009072565,0.5373105159980293,INR 35 to 45 lacs,Var < 2%
Dec-2023,Mumbai,"Hall, Smith and Brown",Active,North,9267,3154515.84,560348.4,2658897.92,1222921.11,1335456.13,-183966.2,13748.24,More than 40 lacs,More than 30%,EBITDA +ve,0% to 10%,775107.7299999999,50.22592706379642,29.151466258621916,0.5170653561607962,INR 25 to 35 lacs,Var < 2%
Jan-2024,Mumbai,"Hall, Smith and Brown",Active,North,14644,5261559.27,1513914.76,3872968.56,1310610.56,2424375.81,1104215.07,10622.31,More than 40 lacs,0% to 10%,EBITDA -ve,0% to 10%,910461.05,62.59735323025705,23.508092975585633,0.274267911950207,INR 35 to 45 lacs,Var < 2%
Feb-2024,Mumbai,"Hall, Smith and Brown",Active,North,9940,4326240.99,859907.9,3582631.09,1227691.14,2235524.89,869294.07,18941.11,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,1375616.9900000002,62.39896974711957,38.396836164339774,0.5286927267747236,INR 35 to 45 lacs,Var < 2%
Mar-2024,Mumbai,"Hall, Smith and Brown",Active,North,9597,3314286.3,686858.63,2700150.54,799769.83,1837635.31,289089.7,10922.47,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%,1150776.6800000002,68.05677249387733,42.618982273484654,0.4045133720581372,INR 25 to 35 lacs,Var < 2%
Oct-2023,Mumbai,Hammond Ltd,Inactive,West,13816,5440099.64,1061851.9,4479276.86,2051554.62,2318400.08,987682.82,23384.01,More than 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,1256548.1800000002,51.758356370050315,28.052478542261845,0.5220487755248957,INR 35 to 45 lacs,Var < 2%
Nov-2023,Mumbai,Hammond Ltd,Inactive,West,7976,2495988.53,732257.32,1872789.53,643266.55,1162464.79,-318993.94,10058.42,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,10% to 20%,430207.4700000001,62.07129906370204,22.9714798757979,0.5370822422314588,INR 15 to 25 lacs,Var < 2%
Dec-2023,Mumbai,Hammond Ltd,Inactive,West,13716,5410943.77,848691.98,4637889.11,1923434.32,2643755.53,1500525.05,16904.46,INR 30 to 40 lacs,More than 30%,EBITDA +ve,More than 20%,1795063.5499999998,57.003422619563224,38.704322320461856,0.36448607543357153,Above INR 45 lacs,Var < 2%
Jan-2024,Mumbai,Hammond Ltd,Inactive,West,7182,3410333.23,764023.73,2696915.27,1000036.89,1575475.12,206995.33,12420.5,INR 30 to 40 lacs,0% to 10%,EBITDA -ve,More than 20%,811451.3900000001,58.41767212805318,30.088130651579576,0.4605446874124451,INR 25 to 35 lacs,Var < 2%
Feb-2024,Mumbai,Hammond Ltd,Inactive,West,9459,3877402.36,1105246.53,2868501.67,1318317.1,1449969.21,165782.98,26160.45,INR 30 to 40 lacs,10% to 20%,EBITDA +ve,0% to 10%,344722.67999999993,50.5479646452498,12.017517145109418,0.9119900564673542,INR 25 to 35 lacs,Var < 2%
Mar-2024,Mumbai,Hammond Ltd,Inactive,West,8150,3004362.79,779259.67,2301554.62,795493.25,1411419.42,-89328.25,16917.55,More than 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,632159.7499999999,61.32461110134331,27.46664122183639,0.7350488166993838,INR 15 to 25 lacs,Var < 2%
Oct-2023,Ahmedabad,Aguirre-Goodman,Active,East,10219,3760119.53,855750.21,3014886.72,1358839.67,1521874.71,215856.18,19757.02,More than 40 lacs,10% to 20%,EBITDA +ve,More than 20%,666124.5,50.47866972593915,22.094511730112366,0.6553155005439143,INR 25 to 35 lacs,Var < 2%
Nov-2023,Ahmedabad,Aguirre-Goodman,Active,East,11009,5284503.15,884735.98,4522031.72,1567075.1,2866008.43,1504175.25,21154.18,INR 30 to 40 lacs,More than 30%,EBITDA -ve,More than 20%,1981272.4500000002,63.378777670316744,43.81376718870075,0.4678025566791027,Above INR 45 lacs,Var < 2%
